"emoji","name","keywords","category"
"🦤","dodo","animal, bird, dodo, extinction, large, ornithology","Animals & Nature"
"🪶","feather","bird, feather, flight, light, plumage","Animals & Nature"
"🦩","flamingo","animal, bird, flamboyant, flamingo, ornithology, tropical","Animals & Nature"
"🦚","peacock","animal, bird, colorful, ornithology, ostentatious, peacock, peahen, pretty, proud","Animals & Nature"
"🦜","parrot","animal, bird, ornithology, parrot, pirate, talk","Animals & Nature"
"🪽","wing","angelic, ascend, aviation, bird, fly, flying, heavenly, mythology, soar, wing","Animals & Nature"
"🐦‍⬛","black bird","animal, beak, bird, black, caw, corvid, crow, ornithology, raven, rook","Animals & Nature"
"🪿","goose","animal, bird, duck, flock, fowl, gaggle, gander, geese, goose, honk, ornithology, silly","Animals & Nature"
"🐦‍🔥","phoenix","ascend, ascension, emerge, fantasy, firebird, glory, immortal, phoenix, rebirth, reincarnation, reinvent, renewal, revival, revive, rise, transform","Animals & Nature"
"🐸","frog","animal, face, frog","Animals & Nature"
"🐊","crocodile","animal, crocodile, zoo","Animals & Nature"
"🐢","turtle","animal, terrapin, tortoise, turtle","Animals & Nature"
"🦎","lizard","animal, lizard, reptile","Animals & Nature"
"🐍","snake","animal, bearer, Ophiuchus, serpent, snake, zodiac","Animals & Nature"
"🐲","dragon face","animal, dragon, face, fairy, fairytale, tale","Animals & Nature"
"🐉","dragon","animal, dragon, fairy, fairytale, knights, tale","Animals & Nature"
"🦕","sauropod","brachiosaurus, brontosaurus, dinosaur, diplodocus, sauropod","Animals & Nature"
"🦖","T-Rex","dinosaur, Rex, T, T-Rex, Tyrannosaurus","Animals & Nature"
"🐳","spouting whale","animal, beach, face, ocean, spouting, whale","Animals & Nature"
"🐋","whale","animal, beach, ocean, whale","Animals & Nature"
"🐬","dolphin","animal, beach, dolphin, flipper, ocean","Animals & Nature"
"🦭","seal","animal, lion, ocean, sea, seal","Animals & Nature"
"🐟","fish","animal, dinner, fish, fishes, fishing, Pisces, zodiac","Animals & Nature"
"🐠","tropical fish","animal, fish, fishes, tropical","Animals & Nature"
"🐡","blowfish","animal, blowfish, fish","Animals & Nature"
"🦈","shark","animal, fish, shark","Animals & Nature"
"🐙","octopus","animal, creature, ocean, octopus","Animals & Nature"
"🐚","spiral shell","animal, beach, conch, sea, shell, spiral","Animals & Nature"
"🪸","coral","change, climate, coral, ocean, reef, sea","Animals & Nature"
"🪼","jellyfish","animal, aquarium, burn, invertebrate, jelly, jellyfish, life, marine, ocean, ouch, plankton, sea, sting, stinger, tentacles","Animals & Nature"
"🦀","crab","Cancer, crab, zodiac","Animals & Nature"
"🦞","lobster","animal, bisque, claws, lobster, seafood","Animals & Nature"
"🦐","shrimp","food, shellfish, shrimp, small","Animals & Nature"
"🦑","squid","animal, food, mollusk, squid","Animals & Nature"
"🦪","oyster","diving, oyster, pearl","Animals & Nature"
"🐌","snail","animal, escargot, garden, nature, slug, snail","Animals & Nature"
"🦋","butterfly","butterfly, insect, pretty","Animals & Nature"
"🐛","bug","animal, bug, garden, insect","Animals & Nature"
"🐜","ant","animal, ant, garden, insect","Animals & Nature"
"🐝","honeybee","animal, bee, bumblebee, honey, honeybee, insect, nature, spring","Animals & Nature"
"🪲","beetle","animal, beetle, bug, insect","Animals & Nature"
"🐞","lady beetle","animal, beetle, garden, insect, lady, ladybird, ladybug, nature","Animals & Nature"
"🦗","cricket","animal, bug, cricket, grasshopper, insect, Orthoptera","Animals & Nature"
"🪳","cockroach","animal, cockroach, insect, pest, roach","Animals & Nature"
"🕷","spider","animal, insect, spider","Animals & Nature"
"🕸","spider web","spider, web","Animals & Nature"
"🦂","scorpion","Scorpio, scorpion, Scorpius, zodiac","Animals & Nature"
"🦟","mosquito","bite, disease, fever, insect, malaria, mosquito, pest, virus","Animals & Nature"
"🪰","fly","animal, disease, fly, insect, maggot, pest, rotting","Animals & Nature"
"🪱","worm","animal, annelid, earthworm, parasite, worm","Animals & Nature"
"🦠","microbe","amoeba, bacteria, microbe, science, virus","Animals & Nature"
"💐","bouquet","anniversary, birthday, bouquet, date, flower, love, plant, romance","Animals & Nature"
"🌸","cherry blossom","blossom, cherry, flower, plant, spring, springtime","Animals & Nature"
"💮","white flower","flower, white","Animals & Nature"
"🪷","lotus","beauty, Buddhism, calm, flower, Hinduism, lotus, peace, purity, serenity","Animals & Nature"
"🏵","rosette","plant, rosette","Animals & Nature"
"🌹","rose","beauty, elegant, flower, love, plant, red, rose, valentine","Animals & Nature"
"🥀","wilted flower","dying, flower, wilted","Animals & Nature"
"🌺","hibiscus","flower, hibiscus, plant","Animals & Nature"
"🌻","sunflower","flower, outdoors, plant, sun, sunflower","Animals & Nature"
"🌼","blossom","blossom, buttercup, dandelion, flower, plant","Animals & Nature"
"🌷","tulip","blossom, flower, growth, plant, tulip","Animals & Nature"
"🪻","hyacinth","bloom, bluebonnet, flower, hyacinth, indigo, lavender, lilac, lupine, plant, purple, shrub, snapdragon, spring, violet","Animals & Nature"
"🌱","seedling","plant, sapling, seedling, sprout, young","Animals & Nature"
"🪴","potted plant","decor, grow, house, nurturing, plant, pot, potted","Animals & Nature"
"🌲","evergreen tree","christmas, evergreen, forest, pine, tree","Animals & Nature"
"🌳","deciduous tree","deciduous, forest, green, habitat, shedding, tree","Animals & Nature"
"🌴","palm tree","beach, palm, plant, tree, tropical","Animals & Nature"
"🌵","cactus","cactus, desert, drought, nature, plant","Animals & Nature"
"🌾","sheaf of rice","ear, grain, grains, plant, rice, sheaf","Animals & Nature"
"🌿","herb","herb, leaf, plant","Animals & Nature"
"☘","shamrock","irish, plant, shamrock","Animals & Nature"
"🍀","four leaf clover","4, clover, four, four-leaf, irish, leaf, lucky, plant","Animals & Nature"
"🍁","maple leaf","falling, leaf, maple","Animals & Nature"
"🍂","fallen leaf","autumn, fall, fallen, falling, leaf","Animals & Nature"
"🍃","leaf fluttering in wind","blow, flutter, fluttering, leaf, wind","Animals & Nature"
"🪹","empty nest","branch, empty, home, nest, nesting","Animals & Nature"
"🪺","nest with eggs","bird, branch, egg, eggs, nest, nesting","Animals & Nature"
"🍄","mushroom","fungus, mushroom, toadstool","Animals & Nature"
"🪾","leafless tree","bare, barren, branches, dead, drought, leafless, tree, trunk, winter, wood","Animals & Nature"
"🍇","grapes","Dionysus, fruit, grape, grapes","Food & Drink"
"🍈","melon","cantaloupe, fruit, melon","Food & Drink"
"🍉","watermelon","fruit, watermelon","Food & Drink"
"🍊","tangerine","c, citrus, fruit, nectarine, orange, tangerine, vitamin","Food & Drink"
"🍋","lemon","citrus, fruit, lemon, sour","Food & Drink"
"🍋‍🟩","lime","acidity, citrus, cocktail, fruit, garnish, key, lime, margarita, mojito, refreshing, salsa, sour, tangy, tequila, tropical, zest","Food & Drink"
"🍌","banana","banana, fruit, potassium","Food & Drink"
"🍍","pineapple","colada, fruit, pina, pineapple, tropical","Food & Drink"
"🥭","mango","food, fruit, mango, tropical","Food & Drink"
"🍎","red apple","apple, diet, food, fruit, health, red, ripe","Food & Drink"
"🍏","green apple","apple, fruit, green","Food & Drink"
"🍐","pear","fruit, pear","Food & Drink"
"🍑","peach","fruit, peach","Food & Drink"
"🍒","cherries","berries, cherries, cherry, fruit, red","Food & Drink"
"🍓","strawberry","berry, fruit, strawberry","Food & Drink"
"🫐","blueberries","berries, berry, bilberry, blue, blueberries, blueberry, food, fruit","Food & Drink"
"🥝","kiwi fruit","food, fruit, kiwi","Food & Drink"
"🍅","tomato","food, fruit, tomato, vegetable","Food & Drink"
"🫒","olive","food, olive","Food & Drink"
"🥥","coconut","coconut, colada, palm, piña","Food & Drink"
"🥑","avocado","avocado, food, fruit","Food & Drink"
"🍆","eggplant","aubergine, eggplant, vegetable","Food & Drink"
"🥔","potato","food, potato, vegetable","Food & Drink"
"🥕","carrot","carrot, food, vegetable","Food & Drink"
"🌽","ear of corn","corn, crops, ear, farm, maize, maze","Food & Drink"
"🌶","hot pepper","hot, pepper","Food & Drink"
"🫑","bell pepper","bell, capsicum, food, pepper, vegetable","Food & Drink"
"🥒","cucumber","cucumber, food, pickle, vegetable","Food & Drink"
"🥬","leafy green","bok, burgers, cabbage, choy, green, kale, leafy, lettuce, salad","Food & Drink"
"🥦","broccoli","broccoli, cabbage, wild","Food & Drink"
"🧄","garlic","flavoring, garlic","Food & Drink"
"🧅","onion","flavoring, onion","Food & Drink"
"🥜","peanuts","food, nut, peanut, peanuts, vegetable","Food & Drink"
"🫘","beans","beans, food, kidney, legume, small","Food & Drink"
"🌰","chestnut","almond, chestnut, plant","Food & Drink"
"🫚","ginger root","beer, ginger, health, herb, natural, root, spice","Food & Drink"
"🫛","pea pod","beans, beanstalk, edamame, legume, pea, pod, soybean, vegetable, veggie","Food & Drink"
"🍄‍🟫","brown mushroom","food, fungi, fungus, mushroom, nature, pizza, portobello, shiitake, shroom, spore, sprout, toppings, truffle, vegetable, vegetarian, veggie","Food & Drink"
"🫜","root vegetable","beet, food, garden, radish, root, salad, turnip, vegetable, vegetarian","Food & Drink"
"🍞","bread","bread, carbs, food, grain, loaf, restaurant, toast, wheat","Food & Drink"
"🥐","croissant","bread, breakfast, crescent, croissant, food, french, roll","Food & Drink"
"🥖","baguette bread","baguette, bread, food, french","Food & Drink"
"🫓","flatbread","arepa, bread, flatbread, food, gordita, lavash, naan, pita","Food & Drink"
"🥨","pretzel","convoluted, pretzel, twisted","Food & Drink"
"🥯","bagel","bagel, bakery, bread, breakfast, schmear","Food & Drink"
"🥞","pancakes","breakfast, crêpe, food, hotcake, pancake, pancakes","Food & Drink"
"🧇","waffle","breakfast, indecisive, iron, waffle","Food & Drink"
"🧀","cheese wedge","cheese, wedge","Food & Drink"
"🍖","meat on bone","bone, meat","Food & Drink"
"🍗","poultry leg","bone, chicken, drumstick, hungry, leg, poultry, turkey","Food & Drink"
"🥩","cut of meat","chop, cut, lambchop, meat, porkchop, red, steak","Food & Drink"
"🥓","bacon","bacon, breakfast, food, meat","Food & Drink"
"🍔","hamburger","burger, eat, fast, food, hamburger, hungry","Food & Drink"
"🍟","french fries","fast, food, french, fries","Food & Drink"
"🍕","pizza","cheese, food, hungry, pepperoni, pizza, slice","Food & Drink"
"🌭","hot dog","dog, frankfurter, hot, hotdog, sausage","Food & Drink"
"🥪","sandwich","bread, sandwich","Food & Drink"
"🌮","taco","mexican, taco","Food & Drink"
"🌯","burrito","burrito, mexican, wrap","Food & Drink"
"🫔","tamale","food, mexican, pamonha, tamale, wrapped","Food & Drink"
"🥙","stuffed flatbread","falafel, flatbread, food, gyro, kebab, stuffed","Food & Drink"
"🧆","falafel","chickpea, falafel, meatball","Food & Drink"
"🥚","egg","breakfast, egg, food","Food & Drink"
"🍳","cooking","breakfast, cooking, easy, egg, fry, frying, over, pan, restaurant, side, sunny, up","Food & Drink"
"🥘","shallow pan of food","casserole, food, paella, pan, shallow","Food & Drink"
"🍲","pot of food","food, pot, soup, stew","Food & Drink"
"🫕","fondue","cheese, chocolate, fondue, food, melted, pot, ski","Food & Drink"
"🥣","bowl with spoon","bowl, breakfast, cereal, congee, oatmeal, porridge, spoon","Food & Drink"
"🥗","green salad","food, green, salad","Food & Drink"
"🍿","popcorn","corn, movie, pop, popcorn","Food & Drink"
"🧈","butter","butter, dairy","Food & Drink"
"🧂","salt","condiment, flavor, mad, salt, salty, shaker, taste, upset","Food & Drink"
"🥫","canned food","can, canned, food","Food & Drink"
"🍱","bento box","bento, box, food","Food & Drink"
"🍘","rice cracker","cracker, food, rice","Food & Drink"
"🍙","rice ball","ball, food, Japanese, rice","Food & Drink"
"🍚","cooked rice","cooked, food, rice","Food & Drink"
"🍛","curry rice","curry, food, rice","Food & Drink"
"🍜","steaming bowl","bowl, chopsticks, food, noodle, pho, ramen, soup, steaming","Food & Drink"
"🍝","spaghetti","food, meatballs, pasta, restaurant, spaghetti","Food & Drink"
"🍠","roasted sweet potato","food, potato, roasted, sweet","Food & Drink"
"🍢","oden","food, kebab, oden, restaurant, seafood, skewer, stick","Food & Drink"
"🍣","sushi","food, sushi","Food & Drink"
"🍤","fried shrimp","fried, prawn, shrimp, tempura","Food & Drink"
"🍥","fish cake with swirl","cake, fish, food, pastry, restaurant, swirl","Food & Drink"
"🥮","moon cake","autumn, cake, festival, moon, yuèbǐng","Food & Drink"
"🍡","dango","dango, dessert, Japanese, skewer, stick, sweet","Food & Drink"
"🥟","dumpling","dumpling, empanada, gyōza, jiaozi, pierogi, potsticker","Food & Drink"
"🥠","fortune cookie","cookie, fortune, prophecy","Food & Drink"
"🥡","takeout box","box, chopsticks, delivery, food, oyster, pail, takeout","Food & Drink"
"🍦","soft ice cream","cream, dessert, food, ice, icecream, restaurant, serve, soft, sweet","Food & Drink"
"🍧","shaved ice","dessert, ice, restaurant, shaved, sweet","Food & Drink"
"🍨","ice cream","cream, dessert, food, ice, restaurant, sweet","Food & Drink"
"🍩","doughnut","breakfast, dessert, donut, doughnut, food, sweet","Food & Drink"
"🍪","cookie","chip, chocolate, cookie, dessert, sweet","Food & Drink"
"🎂","birthday cake","bday, birthday, cake, celebration, dessert, happy, pastry, sweet","Food & Drink"
"🍰","shortcake","cake, dessert, pastry, shortcake, slice, sweet","Food & Drink"
"🧁","cupcake","bakery, cupcake, dessert, sprinkles, sugar, sweet, treat","Food & Drink"
"🥧","pie","apple, filling, fruit, meat, pastry, pie, pumpkin, slice","Food & Drink"
"🍫","chocolate bar","bar, candy, chocolate, dessert, halloween, sweet, tooth","Food & Drink"
"🍬","candy","candy, cavities, dessert, halloween, restaurant, sweet, tooth, wrapper","Food & Drink"
"🍭","lollipop","candy, dessert, food, lollipop, restaurant, sweet","Food & Drink"
"🍮","custard","custard, dessert, pudding, sweet","Food & Drink"
"🍯","honey pot","barrel, bear, food, honey, honeypot, jar, pot, sweet","Food & Drink"
"🍼","baby bottle","babies, baby, birth, born, bottle, drink, infant, milk, newborn","Food & Drink"
"🥛","glass of milk","drink, glass, milk","Food & Drink"
"☕","hot beverage","beverage, cafe, caffeine, chai, coffee, drink, hot, morning, steaming, tea","Food & Drink"
"🫖","teapot","brew, drink, food, pot, tea, teapot","Food & Drink"
"🍵","teacup without handle","beverage, cup, drink, handle, oolong, tea, teacup","Food & Drink"
"🍶","sake","bar, beverage, bottle, cup, drink, restaurant, sake","Food & Drink"
"🍾","bottle with popping cork","bar, bottle, cork, drink, popping","Food & Drink"
"🍷","wine glass","alcohol, bar, beverage, booze, club, drink, drinking, drinks, glass, restaurant, wine","Food & Drink"
"🍸","cocktail glass","alcohol, bar, booze, club, cocktail, drink, drinking, drinks, glass, mad, martini, men","Food & Drink"
"🍹","tropical drink","alcohol, bar, booze, club, cocktail, drink, drinking, drinks, drunk, mai, party, tai, tropical, tropics","Food & Drink"
"🍺","beer mug","alcohol, ale, bar, beer, booze, drink, drinking, drinks, mug, octoberfest, oktoberfest, pint, stein, summer","Food & Drink"
"🍻","clinking beer mugs","alcohol, bar, beer, booze, bottoms, cheers, clink, clinking, drinking, drinks, mugs","Food & Drink"
"🥂","clinking glasses","celebrate, clink, clinking, drink, glass, glasses","Food & Drink"
"🥃","tumbler glass","glass, liquor, scotch, shot, tumbler, whiskey, whisky","Food & Drink"
"🫗","pouring liquid","accident, drink, empty, glass, liquid, oops, pour, pouring, spill, water","Food & Drink"
"🥤","cup with straw","cup, drink, juice, malt, soda, soft, straw, water","Food & Drink"
"🧋","bubble tea","boba, bubble, food, milk, pearl, tea","Food & Drink"
"🧃","beverage box","beverage, box, juice, straw, sweet","Food & Drink"
"🧉","mate","drink, mate","Food & Drink"
"🧊","ice","cold, cube, ice, iceberg","Food & Drink"
"🥢","chopsticks","chopsticks, hashi, jeotgarak, kuaizi","Food & Drink"
"🍽","fork and knife with plate","cooking, dinner, eat, fork, knife, plate","Food & Drink"
"🍴","fork and knife","breakfast, breaky, cooking, cutlery, delicious, dinner, eat, feed, food, fork, hungry, knife, lunch, restaurant, yum, yummy","Food & Drink"
"🥄","spoon","eat, spoon, tableware","Food & Drink"
"🔪","kitchen knife","chef, cooking, hocho, kitchen, knife, tool, weapon","Food & Drink"
"🫙","jar","condiment, container, empty, jar, nothing, sauce, store","Food & Drink"
"🏺","amphora","amphora, Aquarius, cooking, drink, jug, tool, weapon, zodiac","Food & Drink"
"🌍","globe showing Europe-Africa","Africa, earth, Europe, Europe-Africa, globe, showing, world","Travel & Places"
"🌎","globe showing Americas","Americas, earth, globe, showing, world","Travel & Places"
"🌏","globe showing Asia-Australia","Asia, Asia-Australia, Australia, earth, globe, showing, world","Travel & Places"
"🌐","globe with meridians","earth, globe, internet, meridians, web, world, worldwide","Travel & Places"
"🗺","world map","map, world","Travel & Places"
"🗾","map of Japan","Japan, map","Travel & Places"
"🧭","compass","compass, direction, magnetic, navigation, orienteering","Travel & Places"
"🏔","snow-capped mountain","cold, mountain, snow, snow-capped","Travel & Places"
"⛰","mountain","mountain","Travel & Places"
"🌋","volcano","eruption, mountain, nature, volcano","Travel & Places"
"🗻","mount fuji","fuji, mount, mountain, nature","Travel & Places"
"🏕","camping","camping","Travel & Places"
"🏖","beach with umbrella","beach, umbrella","Travel & Places"
"🏜","desert","desert","Travel & Places"
"🏝","desert island","desert, island","Travel & Places"
"🏞","national park","national, park","Travel & Places"
"🏟","stadium","stadium","Travel & Places"
"🏛","classical building","building, classical","Travel & Places"
"🏗","building construction","building, construction, crane","Travel & Places"
"🧱","brick","brick, bricks, clay, mortar, wall","Travel & Places"
"🪨","rock","boulder, heavy, rock, solid, stone, tough","Travel & Places"
"🪵","wood","log, lumber, timber, wood","Travel & Places"
"🛖","hut","home, house, hut, roundhouse, shelter, yurt","Travel & Places"
"🏘","houses","house, houses","Travel & Places"
"🏚","derelict house","derelict, home, house","Travel & Places"
"🏠","house","building, country, heart, home, house, ranch, settle, simple, suburban, suburbia, where","Travel & Places"
"🏡","house with garden","building, country, garden, heart, home, house, ranch, settle, simple, suburban, suburbia, where","Travel & Places"
"🏢","office building","building, city, cubical, job, office","Travel & Places"
"🏣","Japanese post office","building, Japanese, office, post","Travel & Places"
"🏤","post office","building, European, office, post","Travel & Places"
"🏥","hospital","building, doctor, hospital, medicine","Travel & Places"
"🏦","bank","bank, building","Travel & Places"
"🏨","hotel","building, hotel","Travel & Places"
"🏩","love hotel","building, hotel, love","Travel & Places"
"🏪","convenience store","24, building, convenience, hours, store","Travel & Places"
"🏫","school","building, school","Travel & Places"
"🏬","department store","building, department, store","Travel & Places"
"🏭","factory","building, factory","Travel & Places"
"🏯","Japanese castle","building, castle, Japanese","Travel & Places"
"🏰","castle","building, castle, European","Travel & Places"
"💒","wedding","chapel, hitched, nuptials, romance, wedding","Travel & Places"
"🗼","Tokyo tower","Tokyo, tower","Travel & Places"
"🗽","Statue of Liberty","liberty, Liberty, new, ny, nyc, statue, Statue, york","Travel & Places"
"⛪","church","bless, chapel, Christian, church, cross, religion","Travel & Places"
"🕌","mosque","islam, masjid, mosque, Muslim, religion","Travel & Places"
"🛕","hindu temple","hindu, temple","Travel & Places"
"🕍","synagogue","Jew, Jewish, judaism, religion, synagogue, temple","Travel & Places"
"⛩","shinto shrine","religion, shinto, shrine","Travel & Places"
"🕋","kaaba","hajj, islam, kaaba, Muslim, religion, umrah","Travel & Places"
"⛲","fountain","fountain","Travel & Places"
"⛺","tent","camping, tent","Travel & Places"
"🌁","foggy","fog, foggy","Travel & Places"
"🌃","night with stars","night, star, stars","Travel & Places"
"🏙","cityscape","city, cityscape","Travel & Places"
"🌄","sunrise over mountains","morning, mountains, over, sun, sunrise","Travel & Places"
"🌅","sunrise","morning, nature, sun, sunrise","Travel & Places"
"🌆","cityscape at dusk","at, building, city, cityscape, dusk, evening, landscape, sun, sunset","Travel & Places"
"🌇","sunset","building, dusk, sun, sunset","Travel & Places"
"🌉","bridge at night","at, bridge, night","Travel & Places"
"♨","hot springs","hot, hotsprings, springs, steaming","Travel & Places"
"🎠","carousel horse","carousel, entertainment, horse","Travel & Places"
"🛝","playground slide","amusement, park, play, playground, playing, slide, sliding, theme","Travel & Places"
"🎡","ferris wheel","amusement, ferris, park, theme, wheel","Travel & Places"
"🎢","roller coaster","amusement, coaster, park, roller, theme","Travel & Places"
"💈","barber pole","barber, cut, fresh, haircut, pole, shave","Travel & Places"
"🎪","circus tent","circus, tent","Travel & Places"
"🚂","locomotive","caboose, engine, locomotive, railway, steam, train, trains, travel","Travel & Places"
"🚃","railway car","car, electric, railway, train, tram, travel, trolleybus","Travel & Places"
"🚄","high-speed train","high-speed, railway, shinkansen, speed, train","Travel & Places"
"🚅","bullet train","bullet, high-speed, nose, railway, shinkansen, speed, train, travel","Travel & Places"
"🚆","train","arrived, choo, railway, train","Travel & Places"
"🚇","metro","metro, subway, travel","Travel & Places"
"🚈","light rail","arrived, light, monorail, rail, railway","Travel & Places"
"🚉","station","railway, station, train","Travel & Places"
"🚊","tram","tram, trolleybus","Travel & Places"
"🚝","monorail","monorail, vehicle","Travel & Places"
"🚞","mountain railway","car, mountain, railway, trip","Travel & Places"
"🚋","tram car","bus, car, tram, trolley, trolleybus","Travel & Places"
"🚌","bus","bus, school, vehicle","Travel & Places"
"🚍","oncoming bus","bus, cars, oncoming","Travel & Places"
"🚎","trolleybus","bus, tram, trolley, trolleybus","Travel & Places"
"🚐","minibus","bus, drive, minibus, van, vehicle","Travel & Places"
"🚑","ambulance","ambulance, emergency, vehicle","Travel & Places"
"🚒","fire engine","engine, fire, truck","Travel & Places"
"🚓","police car","5–0, car, cops, patrol, police","Travel & Places"
"🚔","oncoming police car","car, oncoming, police","Travel & Places"
"🚕","taxi","cab, cabbie, car, drive, taxi, vehicle, yellow","Travel & Places"
"🚖","oncoming taxi","cab, cabbie, cars, drove, hail, oncoming, taxi, yellow","Travel & Places"
"🚗","automobile","automobile, car, driving, vehicle","Travel & Places"
"🚘","oncoming automobile","automobile, car, cars, drove, oncoming, vehicle","Travel & Places"
"🚙","sport utility vehicle","car, drive, recreational, sport, sportutility, utility, vehicle","Travel & Places"
"🛻","pickup truck","automobile, car, flatbed, pick-up, pickup, transportation, truck","Travel & Places"
"🚚","delivery truck","car, delivery, drive, truck, vehicle","Travel & Places"
"🚛","articulated lorry","articulated, car, drive, lorry, move, semi, truck, vehicle","Travel & Places"
"🚜","tractor","tractor, vehicle","Travel & Places"
"🏎","racing car","car, racing, zoom","Travel & Places"
"🏍","motorcycle","motorcycle, racing","Travel & Places"
"🛵","motor scooter","motor, scooter","Travel & Places"
"🦽","manual wheelchair","accessibility, manual, wheelchair","Travel & Places"
"🦼","motorized wheelchair","accessibility, motorized, wheelchair","Travel & Places"
"🛺","auto rickshaw","auto, rickshaw, tuk","Travel & Places"
"🚲","bicycle","bicycle, bike, class, cycle, cycling, cyclist, gang, ride, spin, spinning","Travel & Places"
"🛴","kick scooter","kick, scooter","Travel & Places"
"🛹","skateboard","board, skate, skateboard, skater, wheels","Travel & Places"
"🛼","roller skate","blades, roller, skate, skates, sport","Travel & Places"
"🚏","bus stop","bus, busstop, stop","Travel & Places"
"🛣","motorway","highway, motorway, road","Travel & Places"
"🛤","railway track","railway, track, train","Travel & Places"
"🛢","oil drum","drum, oil","Travel & Places"
"⛽","fuel pump","diesel, fuel, fuelpump, gas, gasoline, pump, station","Travel & Places"
"🛞","wheel","car, circle, tire, turn, vehicle, wheel","Travel & Places"
"🚨","police car light","alarm, alert, beacon, car, emergency, light, police, revolving, siren","Travel & Places"
"🚥","horizontal traffic light","horizontal, intersection, light, signal, stop, stoplight, traffic","Travel & Places"
"🚦","vertical traffic light","drove, intersection, light, signal, stop, stoplight, traffic, vertical","Travel & Places"
"🛑","stop sign","octagonal, sign, stop","Travel & Places"
"🚧","construction","barrier, construction","Travel & Places"
"⚓","anchor","anchor, ship, tool","Travel & Places"
"🛟","ring buoy","buoy, float, life, lifesaver, preserver, rescue, ring, safety, save, saver, swim","Travel & Places"
"⛵","sailboat","boat, resort, sailboat, sailing, sea, yacht","Travel & Places"
"🛶","canoe","boat, canoe","Travel & Places"
"🚤","speedboat","billionaire, boat, lake, luxury, millionaire, speedboat, summer, travel","Travel & Places"
"🛳","passenger ship","passenger, ship","Travel & Places"
"⛴","ferry","boat, ferry, passenger","Travel & Places"
"🛥","motor boat","boat, motor, motorboat","Travel & Places"
"🚢","ship","boat, passenger, ship, travel","Travel & Places"
"✈","airplane","aeroplane, airplane, fly, flying, jet, plane, travel","Travel & Places"
"🛩","small airplane","aeroplane, airplane, plane, small","Travel & Places"
"🛫","airplane departure","aeroplane, airplane, check-in, departure, departures, plane","Travel & Places"
"🛬","airplane arrival","aeroplane, airplane, arrival, arrivals, arriving, landing, plane","Travel & Places"
"🪂","parachute","hang-glide, parachute, parasail, skydive","Travel & Places"
"💺","seat","chair, seat","Travel & Places"
"🚁","helicopter","copter, helicopter, roflcopter, travel, vehicle","Travel & Places"
"🚟","suspension railway","railway, suspension","Travel & Places"
"🚠","mountain cableway","cable, cableway, gondola, lift, mountain, ski","Travel & Places"
"🚡","aerial tramway","aerial, cable, car, gondola, ropeway, tramway","Travel & Places"
"🛰","satellite","satellite, space","Travel & Places"
"🚀","rocket","launch, rocket, rockets, space, travel","Travel & Places"
"🛸","flying saucer","aliens, extra, flying, saucer, terrestrial, UFO","Travel & Places"
"🛎","bellhop bell","bell, bellhop, hotel","Travel & Places"
"🧳","luggage","bag, luggage, packing, roller, suitcase, travel","Travel & Places"
"⌛","hourglass done","done, hourglass, sand, time, timer","Travel & Places"
"⏳","hourglass not done","done, flowing, hourglass, hours, not, sand, timer, waiting, yolo","Travel & Places"
"⌚","watch","clock, time, watch","Travel & Places"
"⏰","alarm clock","alarm, clock, hours, hrs, late, time, waiting","Travel & Places"
"⏱","stopwatch","clock, stopwatch, time","Travel & Places"
"⏲","timer clock","clock, timer","Travel & Places"
"🕰","mantelpiece clock","clock, mantelpiece, time","Travel & Places"
"🕛","twelve o’clock","12, 12:00, clock, o’clock, time, twelve","Travel & Places"
"🕧","twelve-thirty","12, 12:30, 30, clock, thirty, time, twelve, twelve-thirty","Travel & Places"
"🕐","one o’clock","1, 1:00, clock, o’clock, one, time","Travel & Places"
"🕜","one-thirty","1, 1:30, 30, clock, one, one-thirty, thirty, time","Travel & Places"
"🕑","two o’clock","2, 2:00, clock, o’clock, time, two","Travel & Places"
"🕝","two-thirty","2, 2:30, 30, clock, thirty, time, two, two-thirty","Travel & Places"
"🕒","three o’clock","3, 3:00, clock, o’clock, three, time","Travel & Places"
"🕞","three-thirty","3, 3:30, 30, clock, thirty, three, three-thirty, time","Travel & Places"
"🕓","four o’clock","4, 4:00, clock, four, o’clock, time","Travel & Places"
"🕟","four-thirty","30, 4, 4:30, clock, four, four-thirty, thirty, time","Travel & Places"
"🕔","five o’clock","5, 5:00, clock, five, o’clock, time","Travel & Places"
"🕠","five-thirty","30, 5, 5:30, clock, five, five-thirty, thirty, time","Travel & Places"
"🕕","six o’clock","6, 6:00, clock, o’clock, six, time","Travel & Places"
"🕡","six-thirty","30, 6, 6:30, clock, six, six-thirty, thirty","Travel & Places"
"🕖","seven o’clock","0, 7, 7:00, clock, o’clock, seven","Travel & Places"
"🕢","seven-thirty","30, 7, 7:30, clock, seven, seven-thirty, thirty","Travel & Places"
"🕗","eight o’clock","8, 8:00, clock, eight, o’clock, time","Travel & Places"
"🕣","eight-thirty","30, 8, 8:30, clock, eight, eight-thirty, thirty, time","Travel & Places"
"🕘","nine o’clock","9, 9:00, clock, nine, o’clock, time","Travel & Places"
"🕤","nine-thirty","30, 9, 9:30, clock, nine, nine-thirty, thirty, time","Travel & Places"
"🕙","ten o’clock","0, 10, 10:00, clock, o’clock, ten","Travel & Places"
"🕥","ten-thirty","10, 10:30, 30, clock, ten, ten-thirty, thirty, time","Travel & Places"
